method,metric,K=S,mean,std
Uniform-Alg1,delta1,100,5.016872,2.449487
Uniform-Alg1,delta1,500,3.130362,1.045517
Uniform-Alg1,delta1,2000,0.841952,0.267793
Uniform-Alg1,delta1,10000,0.611628,0.383018
Uniform-Alg1,delta1,50000,0.129017,0.030334
Uniform-Alg1,delta2,100,0.870417,0.101471
Uniform-Alg1,delta2,500,0.360229,0.226533
Uniform-Alg1,delta2,2000,0.165103,0.025616
Uniform-Alg1,delta2,10000,0.088609,0.023393
Uniform-Alg1,delta2,50000,0.044326,0.011349
Uniform-Alg1,kl,100,-5.191458,0.403341
Uniform-Alg1,kl,500,-6.556032,0.037664
Uniform-Alg1,kl,2000,-7.114377,0.023790
Uniform-Alg1,kl,10000,-7.302159,0.005643
Uniform-Alg1,kl,50000,-7.346313,0.000875
Uniform-Alg1,npll,100,4.487244,0.908458
Uniform-Alg1,npll,500,4.075297,0.390725
Uniform-Alg1,npll,2000,4.249221,0.140243
Uniform-Alg1,npll,10000,4.229577,0.088007
Uniform-Alg1,npll,50000,4.241544,0.043918
MF-Alg1,delta1,100,8.291978,0.970684
MF-Alg1,delta1,500,7.324937,1.172394
MF-Alg1,delta1,2000,5.219100,1.451420
MF-Alg1,delta1,10000,2.664314,0.638351
MF-Alg1,delta1,50000,2.842123,1.228816
MF-Alg1,delta2,100,0.447332,0.101292
MF-Alg1,delta2,500,0.419791,0.240002
MF-Alg1,delta2,2000,0.583217,0.405116
MF-Alg1,delta2,10000,0.417987,0.035364
MF-Alg1,delta2,50000,0.328176,0.019032
MF-Alg1,kl,100,-5.294651,0.237555
MF-Alg1,kl,500,-5.753327,0.398296
MF-Alg1,kl,2000,-6.167632,0.276017
MF-Alg1,kl,10000,-6.598750,0.028909
MF-Alg1,kl,50000,-6.948833,0.060671
MF-Alg1,npll,100,4.577629,0.343345
MF-Alg1,npll,500,4.839112,0.365555
MF-Alg1,npll,2000,4.504010,0.190467
MF-Alg1,npll,10000,4.506810,0.106729
MF-Alg1,npll,50000,4.580384,0.032901
BP-Alg1,delta1,100,2.453066,0.359648
BP-Alg1,delta1,500,3.863817,1.655115
BP-Alg1,delta1,2000,2.104393,1.054170
BP-Alg1,delta1,10000,0.798922,0.383527
BP-Alg1,delta1,50000,0.193272,0.134608
BP-Alg1,delta2,100,0.824549,0.068434
BP-Alg1,delta2,500,0.415987,0.188712
BP-Alg1,delta2,2000,0.161311,0.057148
BP-Alg1,delta2,10000,0.067838,0.012166
BP-Alg1,delta2,50000,0.037396,0.019607
BP-Alg1,kl,100,-5.237278,0.211814
BP-Alg1,kl,500,-6.414278,0.031937
BP-Alg1,kl,2000,-7.056121,0.050255
BP-Alg1,kl,10000,-7.297526,0.009528
BP-Alg1,kl,50000,-7.346174,0.000383
BP-Alg1,npll,100,4.489777,0.507854
BP-Alg1,npll,500,4.229683,0.564705
BP-Alg1,npll,2000,4.398812,0.117621
BP-Alg1,npll,10000,4.316077,0.040637
BP-Alg1,npll,50000,4.303833,0.032879
LBP-Alg1,delta1,100,2.108624,0.466413
LBP-Alg1,delta1,500,1.098438,0.539411
LBP-Alg1,delta1,2000,0.647929,0.137459
LBP-Alg1,delta1,10000,0.227808,0.075535
LBP-Alg1,delta1,50000,0.090991,0.019849
LBP-Alg1,delta2,100,0.404258,0.090987
LBP-Alg1,delta2,500,0.143818,0.021618
LBP-Alg1,delta2,2000,0.082760,0.005234
LBP-Alg1,delta2,10000,0.036050,0.009235
LBP-Alg1,delta2,50000,0.017689,0.000912
LBP-Alg1,kl,100,-5.842212,0.177209
LBP-Alg1,kl,500,-6.779750,0.014523
LBP-Alg1,kl,2000,-7.150389,0.006434
LBP-Alg1,kl,10000,-7.307193,0.001781
LBP-Alg1,kl,50000,-7.346147,0.000720
LBP-Alg1,npll,100,4.367836,0.360604
LBP-Alg1,npll,500,4.259468,0.040099
LBP-Alg1,npll,2000,4.235287,0.051455
LBP-Alg1,npll,10000,4.262437,0.012362
LBP-Alg1,npll,50000,4.287282,0.006716
Exact-DF,delta1,100,0.178663,0.041530
Exact-DF,delta1,500,0.178663,0.041530
Exact-DF,delta1,2000,0.178663,0.041530
Exact-DF,delta1,10000,0.178663,0.041530
Exact-DF,delta1,50000,0.178663,0.041530
Exact-DF,delta2,100,0.044060,0.014710
Exact-DF,delta2,500,0.044060,0.014710
Exact-DF,delta2,2000,0.044060,0.014710
Exact-DF,delta2,10000,0.044060,0.014710
Exact-DF,delta2,50000,0.044060,0.014710
Exact-DF,kl,100,-7.302982,0.001517
Exact-DF,kl,500,-7.302982,0.001517
Exact-DF,kl,2000,-7.302982,0.001517
Exact-DF,kl,10000,-7.302982,0.001517
Exact-DF,kl,50000,-7.302982,0.001517
Exact-DF,npll,100,4.261607,0.033735
Exact-DF,npll,500,4.261607,0.033735
Exact-DF,npll,2000,4.261607,0.033735
Exact-DF,npll,10000,4.261607,0.033735
Exact-DF,npll,50000,4.261607,0.033735
MCMC,delta1,100,0.239066,0.074167
MCMC,delta1,500,0.239066,0.074167
MCMC,delta1,2000,0.239066,0.074167
MCMC,delta1,10000,0.239066,0.074167
MCMC,delta1,50000,0.239066,0.074167
MCMC,delta2,100,0.040890,0.009686
MCMC,delta2,500,0.040890,0.009686
MCMC,delta2,2000,0.040890,0.009686
MCMC,delta2,10000,0.040890,0.009686
MCMC,delta2,50000,0.040890,0.009686
MCMC,kl,100,-7.303334,0.001316
MCMC,kl,500,-7.303334,0.001316
MCMC,kl,2000,-7.303334,0.001316
MCMC,kl,10000,-7.303334,0.001316
MCMC,kl,50000,-7.303334,0.001316
MCMC,npll,100,4.259836,0.042226
MCMC,npll,500,4.259836,0.042226
MCMC,npll,2000,4.259836,0.042226
MCMC,npll,10000,4.259836,0.042226
MCMC,npll,50000,4.259836,0.042226
